                   0Inputs = 0 0000 0000,outputs = 0000 0
                  20Inputs = 1 0000 0000,outputs = 0001 0
                  40Inputs = 0 0001 0000,outputs = 0001 0
                  60Inputs = 1 0001 0000,outputs = 0010 0
                  80Inputs = 0 0010 0000,outputs = 0010 0
                 100Inputs = 1 0010 0000,outputs = 0011 0
                 120Inputs = 0 0011 0000,outputs = 0011 0
                 140Inputs = 1 0011 0000,outputs = 0100 0
                 160Inputs = 0 0100 0000,outputs = 0100 0
                 180Inputs = 1 0100 0000,outputs = 0101 0
                 200Inputs = 0 0101 0000,outputs = 0101 0
                 220Inputs = 1 0101 0000,outputs = 0110 0
                 240Inputs = 0 0110 0000,outputs = 0110 0
                 260Inputs = 1 0110 0000,outputs = 0111 0
                 280Inputs = 0 0111 0000,outputs = 0111 0
                 300Inputs = 1 0111 0000,outputs = 1000 0
                 320Inputs = 0 1000 0000,outputs = 1000 0
                 340Inputs = 1 1000 0000,outputs = 1001 0
                 360Inputs = 0 1001 0000,outputs = 1001 0
                 380Inputs = 1 1001 0000,outputs = 1010 0
                 400Inputs = 0 1010 0000,outputs = 1010 0
                 420Inputs = 1 1010 0000,outputs = 1011 0
                 440Inputs = 0 1011 0000,outputs = 1011 0
                 460Inputs = 1 1011 0000,outputs = 1100 0
                 480Inputs = 0 1100 0000,outputs = 1100 0
                 500Inputs = 1 1100 0000,outputs = 1101 0
                 520Inputs = 0 1101 0000,outputs = 1101 0
                 540Inputs = 1 1101 0000,outputs = 1110 0
                 560Inputs = 0 1110 0000,outputs = 1110 0
                 580Inputs = 1 1110 0000,outputs = 1111 0
                 600Inputs = 0 1111 0000,outputs = 1111 0
                 620Inputs = 1 1111 0000,outputs = 0000 1
                 640Inputs = 0 0000 0001,outputs = 0001 0
                 660Inputs = 1 0000 0001,outputs = 0010 0
                 680Inputs = 0 0001 0001,outputs = 0010 0
                 700Inputs = 1 0001 0001,outputs = 0011 0
                 720Inputs = 0 0010 0001,outputs = 0011 0
                 740Inputs = 1 0010 0001,outputs = 0100 0
                 760Inputs = 0 0011 0001,outputs = 0100 0
